handle,followerCount
"lizzy2016.bsky.social",61818
"planetjericho.bsky.social",61818
"kevinressler.bsky.social",61810
"agb2g.bsky.social",61664
"allentien.bsky.social",61623
"leahstokes.bsky.social",61579
"thetyee.ca",61448
"drjennings.bsky.social",61311
"ronnypascale.bsky.social",61221
"why.bsky.team",61198
"brenttoderian.bsky.social",61100
"trishgreenhalgh.bsky.social",61000
"worldofart.bsky.social",60651
"happyroadkill.bsky.social",60640
"paullander.bsky.social",59840
"fightingliberal.bsky.social",59829
"reclaimamerica.bsky.social",59725
"charleskeener.bsky.social",59656
"opdeatheaters.bsky.social",59532
"alt-irs.altgov.info",59365
"jacobtlevy.bsky.social",59324
"guitardave.bsky.social",59000
"beautifullocity.bsky.social",58963
"progavalanche.bsky.social",58502
"danabra.mov",58455
"couts.bsky.social",58350
"satmornpod.bsky.social",58220
"niedermeyer.online",58189
"kim-hu.com",58099
"dereume.bsky.social",58022
"lloydmill.bsky.social",57398
"conormcl2025.bsky.social",57292
"assignedmedia.org",57207
"fintechernest.bsky.social",57020
"pukabear.bsky.social",56854
"amywestervelt.bsky.social",56848
"cecillia.com.br",56756
"franktheshank88.bsky.social",56630
"rockylaster.bsky.social",55903
"ketanjoshi.co",55867
"tempestori.bsky.social",55794
"ramiismail.com",55694
"felicioxz.bsky.social",55648
"davidenrich.bsky.social",55642
"csapmi.bsky.social",55476
"kaylacalkin.bsky.social",55463
"jessexpress.bsky.social",55291
"tai2chris.bsky.social",55161
"ecitizen1.bsky.social",55141
"sydesjokes.bsky.social",55100
"nickturse.bsky.social",55073
"phineasm.bsky.social",54911
"culturedmeat.bsky.social",54851
"betsj.bsky.social",54828
"ottomanhistory.bsky.social",54793
"roxiqt.com",54500
"barbosaportal.bsky.social",54401
"michelewitchypoo.bsky.social",54263
"angrydonkeynews.bsky.social",54017
"29pat.bsky.social",53883
"joelcardwell.bsky.social",53833
"easterncoyote.bsky.social",53725
"newmexiconomad.com",53669
"johnpearce650.bsky.social",53627
"stlouisatheists.bsky.social",53557
"samuel.bsky.team",53451
"tribalarmy.org",53376
"jasonkoebler.bsky.social",53110
"gizmosspace.bsky.social",52976
"adventurer56.bsky.social",52948
"elizabeth64.bsky.social",52947
"democracyblue.bsky.social",52771
"jonhutson.bsky.social",52131
"radicalryan.bsky.social",51930
"fieldexplores.bsky.social",51379
"truebuddhism.bsky.social",51340
"orathiago.com",51153
"flamekurve.bsky.social",51131
"carolineinsweden.bsky.social",51110
"arleenb.bsky.social",51003
"mrskladybug.bsky.social",50870
"hpsc24.bsky.social",50852
"alexjungroth.bsky.social",50760
"marlenerobertson.bsky.social",50442
"cross-theline.bsky.social",50286
"jonnelledge.bsky.social",50226
"druidorbital.bsky.social",50049
"buchanan.today",50017
"candycemv1.bsky.social",49788
"paula-projekt.bsky.social",49759
"beserioususa.bsky.social",49650
"9iceguy11.bsky.social",49642
"hirenthakore.bsky.social",49633
"zachweinersmith.bsky.social",49585
"theothermike.bsky.social",49500
"us-political-news.bsky.social",49398
"verti.blue",49275
"justsomedude57.bsky.social",49253
"juliepatchouly.bsky.social",49252
"mylauram.bsky.social",49127
"cleanminds.bsky.social",49082
"anthonyturriff.bsky.social",49075
"batguan0.bsky.social",49045
"bluedotin.bsky.social",48950
"elisabethbik.bsky.social",48920
"justinelliott.bsky.social",48790
"alphwilliams.bsky.social",48662
"badassfeminists.bsky.social",48636
"eddiebullock.bsky.social",48537
"margaretcho.bsky.social",48408
"rupertrivett.bsky.social",48312
"opendemocracy.net",48291
"ericlagadec.bsky.social",47721
"lisabolynn.bsky.social",47630
"melrea.bsky.social",47462
"jeancarl10.bsky.social",47429
"johnmoffitt.bsky.social",47036
"politicalbeauty.bsky.social",46917
"altuscustoms.altgov.info",46881
"kathleenbelew.bsky.social",46847
"jun.de",46733
"villaverla.bsky.social",46666
"helenlewis.bsky.social",46607
"admiralawesomeness.bsky.social",46587
"mcflynews.com",46504
"jazzzzzy.bsky.social",46453
"jesspiperfanpage.bsky.social",46430
"tnblue.bsky.social",46426
"michaelzemmour.cpesr.fr",46358
"gwensnyder.bsky.social",46232
"hmontae22.bsky.social",46180
"terilg.bsky.social",46167
"momazonrises.bsky.social",45890
"costasamaras.com",45865
"kitchen5203.bsky.social",45718
"sulamoon.bsky.social",45566
"rabbijill.bsky.social",45559
"kathyswords.bsky.social",45545
"healingnation.bsky.social",45535
"dividerdecider.bsky.social",45487
"j1j2.bsky.social",45018
"darthslr.bsky.social",44916
"gopcrimes.bsky.social",44873
"jeffgerstmann.com",44861
"jay.hightman.org",44752
"sathnam.bsky.social",44733
"johnwstegenmo.bsky.social",44579
"58bugeye.bsky.social",44408
"markcarneyforpm.bsky.social",44398
"fullperm.com",44346
"horrorculturist.bsky.social",44122
"aaronjackarts.bsky.social",44110
"chummychumlee.bsky.social",44078
"peark.es",44078
"rikefranke.bsky.social",44067
"keith.is.democrat",44031
"platogue.bsky.social",44009
"t-shirtnshorts.bsky.social",43944
"nintendolife.com",43879
"normative.bsky.social",43824
"therealkookamook.bsky.social",43816
"cllrmartynjs.bsky.social",43727
"gelliottmorris.com",43606
"flipturns.bsky.social",43570
"toweather.bsky.social",43555
"logicaldog.bsky.social",43470
"wrennimusic.com",43451
"neumahn.bsky.social",43434
"thewaroncars.bsky.social",43430
"spritepurplefairy.bsky.social",43365
"rdvines.bsky.social",43346
"soundsofmrdosh.bsky.social",43098
"brianfung.me",42937
"demsoldier.bsky.social",42928
"macdaddypayday.bsky.social",42866
"lealuck.bsky.social",42736
"swilua.bsky.social",42684
"arseblog.com",42482
"carolinesommerlind.bsky.social",42385
"georgrestle.bsky.social",42343
"adolfadas.bsky.social",42309
"spanishrevolution.bsky.social",42221
"crisvector.com",42170
"defendingdemocracy.bsky.social",42146
"geofferygeoff.bsky.social",42066
"fwsa.bsky.social",41997
"trantosaurus.bsky.social",41942
"mautorland.com",41921
"kevin-sweet.bsky.social",41882
"mysticunicorn9.bsky.social",41867
"postcards4usa.bsky.social",41806
"meidasguy.bsky.social",41775
"albertvilella.bsky.social",41641
"weatherwest.bsky.social",41598
"realjakebroe.bsky.social",41536
"jorinyc.bsky.social",41456
"dianaresists.bsky.social",41382
"sameerkankali.bsky.social",41293
"lioness77.bsky.social",41221
"karinakozlowska.bsky.social",40941
"b0rk.jvns.ca",40886
"cheferic1970.bsky.social",40818
"booksstlouis.bsky.social",40648
"counseloroh.bsky.social",40615
"herculesprime.bsky.social",40615
"femsocphd.bsky.social",40609
"marionicolais.bsky.social",40604
"rewirenewsgroup.com",40534
"gdaddy48.bsky.social",40521
"nasibov.me",40505
"ptcontagion.bsky.social",40501
"gregdoucette.bsky.social",40460
"the-pentaxian.bsky.social",40447
"danielrolphauthor.bsky.social",40446
"mikannn.bsky.social",40399
"purplepuppy.bsky.social",40339
"fathitler.com",40324
"teddywilder.bsky.social",40138
"zacheverson.com",40043
"theswitcheffect.net",40037
"howiwetyourmother.bsky.social",39828
"zittrain.bsky.social",39807
"boydsky.bsky.social",39627
"isaacolojo.bsky.social",39610
"falseknees.bsky.social",39597
"qgdopop.bsky.social",39499
"aendra.com",39475
"juliaangwin.com",39413
"ulrichjvv.bsky.social",39158
"ohreallya.bsky.social",39137
"johnpfaff.bsky.social",39067
"meidasboobarekitty.bsky.social",38964
"yarkot.bsky.social",38963
"ihuntingclub.bsky.social",38937
"rsslmo.bsky.social",38933
"james55graham.bsky.social",38886
"nathanroguexxx.bsky.social",38800
"catworkers.bsky.social",38793
"tenuity.bsky.social",38720
"michaelmitchell.bsky.social",38719
"michellehogan.bsky.social",38681
"justamomnamedmm.bsky.social",38628
"progressivedem.bsky.social",38624
"brodnig.bsky.social",38622
"pialamberty.bsky.social",38565
"heatherturiello.bsky.social",38564
"mikelking.com",38503
"therealenemywithin.bsky.social",38493
"joes-spot.bsky.social",38473
"troycap.bsky.social",38442
"resnikoff.bsky.social",38386
"vickiehinkley.bsky.social",38374
"bunnibytz.bsky.social",38242
"barbiedory.bsky.social",38211
"strandvogel.united-for-democracy.com",38189
"b34rsgirl.bsky.social",38139
"denisedwheeler.bsky.social",38125
"oldamerica.bsky.social",38047
"theeliasrework.bsky.social",38032
"unitediparty.bsky.social",37990
"puppydudley.bsky.social",37984
"teslatakedown.com",37982
"hayleyml.bsky.social",37944
"maelmertah.bsky.social",37901
"awildirish1.bsky.social",37822
"lucky8.bsky.social",37709
"rainwater14.bsky.social",37647
"friendleemarie53.bsky.social",37640
"hausfath.bsky.social",37566
"sassylassiein2024.bsky.social",37537
"androidblackish.bsky.social",37527
"scottmccloud.bsky.social",37500
"thefuckingshoe.bsky.social",37423
"teamsterbob.com",37418
"garrywatters.bsky.social",37412
"catcmdr1.bsky.social",37388
"kattascha.bsky.social",37347
"boner.ink",37290
"redloribrighteyes.bsky.social",37260
"jamisonfoser.bsky.social",37219
"theol222.bsky.social",37124
"davidpareja.com",37108
"danno510.bsky.social",37066
"mooseallain.bsky.social",37012
"stulndn.bsky.social",36970
"rudepundit.bsky.social",36895
"richardhull54.bsky.social",36884
"milamjeff.bsky.social",36858
"sandrousseau.bsky.social",36777
"dila2005.bsky.social",36747
"samurai-daddy-1.bsky.social",36691
"josie.zone",36682
"flintdibble.bsky.social",36559
"jistargo.bsky.social",36363
"newsbreakinglive.bsky.social",36330
"ruthz.bsky.social",36294
"mobydickatsea.bsky.social",36255
"dechastelaine.com",36209
"miverr.bsky.social",36035
"terikanefield.bsky.social",35980
"sixtus.net",35902
"californialove1.bsky.social",35880
"sam2005brave.bsky.social",35861
"aelith4ever.bsky.social",35832
"canadian-critic.bsky.social",35780
"drsandyb.bsky.social",35765
"eugenerobinson.bsky.social",35726
"punktoady.bsky.social",35657
"theplaguesrus.bsky.social",35580
"sweetpea247.bsky.social",35565
"stoopidfunnyjokes.bsky.social",35563
"mabsamabbin.bsky.social",35534
"silencepro.bsky.social",35360
"saidsami.bsky.social",35325
"jimbrown.bsky.social",35301
"roadrunner33.bsky.social",35187
"elhowieson.bsky.social",35182
"rosalei.bsky.social",35141
"justbreathe0507.bsky.social",35134
"babycakez.bsky.social",35014
"zephoria.bsky.social",34998
"pikachhu.bsky.social",34949
"dmansini.bsky.social",34935
"drfingerstyle.bsky.social",34858
"nightbird39.bsky.social",34806
"toguy99.bsky.social",34747
"ronsparks.ca",34725
"jimsimmons.bsky.social",34610
"centralfloridainternet.com",34596
"purplepeace.bsky.social",34564
"sergezaka.bsky.social",34490
"jackiefreedom.bsky.social",34451
"rsb1213.bsky.social",34394
"drawfeeshow.com",34330
"borntobefree.bsky.social",34324
"silverliningunited.bsky.social",34273
"iamlightwalker.bsky.social",34253
